Symbol,Market Cap
DHCNI,4046104623.00
DHCNL,4229579535.00
DHI,46942890273.00
DHR,160433176244.00
DHT,2047114220.00
DINO,9269151461.00
DIOD,2397657759.00
DIS,188294414588.00
DJT,3301172128.00
DJTWW,1455987707.00
DK,2260940970.00
DKL,2492186687.00
DKNG,17516614557.00
DKS,18098646491.00
DLB,6310074218.00
DLO,3845350082.00
DLR,55310619903.00
DLTR,23041118778.00
DMLP,1087677843.00
DNLI,2949369462.00
DNN,2548305136.00
DNOW,1501671114.00
DNTH,1916986631.00
DOC,11939237959.00
DOCN,4231511568.00
DOCS,9660198812.00
DOCU,14298502719.00
DOLE,1406140143.00
DOOO,5499263214.00
DORM,3861895696.00
DOV,26146890433.00
DOW,16255250255.00
DOX,8630483618.00
DPZ,14429080121.00
DQ,2109604254.00
DRD,2471859122.00
DRH,1759995492.00
DRI,20501463690.00
DRS,9127376935.00
DRVN,2522727704.00
DSGR,1267565837.00
DSGX,8157569898.00
DSL,1154604093.00
DT,13358945288.00
DTB,3594992938.00
DTE,27447386866.00
DTG,3565917316.00
DTM,12356432105.00
DTW,4398726194.00
DUK,91740694595.00
DUKB,19379317702.00
DUOL,8708309512.00
DV,1743180055.00
DVA,8279968000.00
DVAX,1286977649.00
DVN,23655483000.00
DX,2037885821.00
DXC,2434392579.00
DXCM,2829327370.00
DXPE,1538922314.00
DY,10262024474.00
DYN,2949329787.00
E,62520277162.00
EA,50738864093.00
EAI,9311545448.00
EAT,6319896022.00
EBAY,37122760000.00
EBC,3986188856.00
EC,20681697434.00
ECAT,1719346500.00
ECCC,1448621073.00
ECCF,27423668537.00
ECCV,1426175939.00
ECCW,1480165586.00
ECCX,1525662479.00
ECG,4819101206.00
ECL,74893171366.00
ECO,1164782827.00
ECPG,1183433049.00
ED,34729224202.00
EDN,1550038221.00
EDU,20398506147.00
EE,3290933794.00
EEFT,3111726841.00
EFC,1462722927.00
EFSC,2062247849.00
EFX,25859412137.00
EFXT,1719841119.00
EG,13168936575.00
EH,1030823167.00
EHC,11371617721.00
EIX,22144495073.00
EL,37412600117.00
ELAN,10926027771.00
ELC,4401223073.00
ELF,4867553004.00
ELME,1517253581.00
ELP,3549273773.00
ELPC,3370836791.00
ELS,12030933754.00
ELV,74114405073.00
ELVN,1270032584.00
ELVR,42756368421.00
EMA,14250173000.00
EMBJ,11674705118.00
EME,28442439351.00
